post_uri,posted_at,text
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munkjwfnks2n,2026-09-03T23:00:54.710Z,Watch this B-movie script get flagged 😅
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munkabijds2h,2026-09-03T22:55:30.784Z,"Me (tied to a chair, bad guys lurking by me): Let me go!
Bad guy: You know, ve haf vays of making you talk...
Me: Look, what happened between me & that grilled cheese was purely consensual -
BG: *slaps me* SILENCE! You've been messing vis ze wrong cheese, everyone knows you use American, you pig!"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munmceggpc22,2026-09-03T23:32:28.474Z,Wheeeeeeee!
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munm57hezc22,2026-09-03T23:29:35.484Z,"Ok this wins 🤣 I'm not normally too political, but I can get behind this any day"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munlpv6vvk2s,2026-09-03T23:22:08.507Z,I don't get the need to use words with more than two syll.... uh... sylla... sound bonks
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munnov7agk2l,2026-09-03T23:57:22.458Z,Yep.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munno6434c2l,2026-09-03T23:56:58.224Z,"They outlawed dog piling and now they expect us to just politely stand on top of each other one at a time, like human Jenga blocks"
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munp7tiais2f,2026-09-04T00:24:44.819Z,It's fascinating how many people have formed very strong opinions about me without ever actually speaking to me
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munovlvvwk22,2026-09-04T00:19:01.338Z,"If you feel seen here, find the door."
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munoqjftlk2w,2026-09-04T00:16:10.932Z,There are people who genuinely believe their prejudices become virtues if they use the right vocabulary.
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munnylrbz22l,2026-09-04T00:02:48.107Z,I don't mind being the butt of the joke. I just wish everyone would stop checking whether I'm available first
at://did:plc:7kix7wonxqkwiyb2r3ygxw5q/app.bsky.feed.post/3munpe24rkc22,2026-09-04T00:27:06.006Z,Likewise!!! 😁
